Date,Dividends
2001-04-18,0.35
1988-01-15,0.7008
2009-10-21,0.44
1976-07-19,0.01719
1976-01-19,0.01563
2001-01-17,0.35
2001-07-18,0.38
1976-10-18,0.01719
2001-10-17,0.38
2010-07-21,0.4818
2009-01-21,0.4
1989-01-13,0.8
2008-10-22,0.4
1977-01-17,0.02031
2000-07-19,0.35
2002-01-16,0.38
1968-04-15,0.00938
1975-10-20,0.01563
1976-04-19,0.01719
2000-10-18,0.35
2009-04-22,0.44
2009-07-22,0.44
2010-01-20,0.44
1986-10-20,0.6752
1990-01-12,0.4504
2011-10-19,0.525
1969-07-14,0.01016
1978-01-16,0.02031
1978-07-17,0.02344
2003-07-16,0.455
1969-04-14,0.01016
1977-04-18,0.02031
1978-10-16,0.02344
1987-04-20,0.6752
2016-04-14,0.6695
1987-07-20,0.6752
2011-01-19,0.4818
2012-07-18,0.562
1962-01-16,0.00586
2002-04-17,0.38
2010-10-20,0.4818
1968-07-15,0.00938
1977-07-18,0.02031
1979-01-15,0.02344
2002-07-17,0.41
1970-05-19,0.0
1968-10-14,0.00938
1977-10-17,0.02031
1978-04-17,0.02344
2002-10-16,0.41
2011-07-20,0.525
2012-01-18,0.525
1967-04-18,0.00859
1967-10-17,0.00859
1988-10-17,0.7008
2013-10-16,0.6015
1963-04-16,0.00625
1963-10-15,0.00625
1984-10-15,0.04063
1993-04-19,0.2752
1997-01-22,0.45
1979-04-16,0.02656
1989-04-17,0.8
1993-10-18,0.31
1966-10-18,0.00781
1987-10-19,0.6752
2012-10-17,0.562
1962-10-16,0.00586
1983-10-17,0.0375
1985-04-15,0.04063
1992-04-20,0.5504
1998-01-21,0.2526
2017-04-19,0.6896
1979-10-15,0.02656
1980-04-14,0.02656
1988-04-18,0.7008
1975-04-14,0.01563
1992-10-19,0.2752
1990-10-15,0.5
1973-04-13,0.01219
2003-01-22,0.41
1986-04-14,0.6752
1995-04-17,0.35
1999-01-20,0.285
1999-07-21,0.32
1969-01-20,0.01016
1970-07-20,0.01094
1991-04-15,0.5
1995-07-19,0.4
2015-04-23,0.6629
1989-10-16,0.9008
2004-01-21,0.455
1975-01-20,0.01563
1994-04-18,0.31
1998-07-22,0.285
2000-01-19,0.32
2019-04-17,0.7459
1970-01-19,0.01016
1990-04-16,0.4504
2020-04-23,0.791
1994-10-17,0.35
2018-04-19,0.7172
2005-01-19,0.25
2005-07-20,0.28
2018-01-18,0.6896
2018-07-19,0.7172
1980-10-20,0.02969
1997-04-16,0.45
2005-10-19,0.28
2014-04-23,0.6436
1971-01-18,0.01094
1972-07-17,0.01219
2018-10-18,0.7172
1997-07-16,0.5052
1996-01-17,0.4
1962-04-16,0.00586
1971-04-19,0.01094
1972-10-16,0.01219
1964-07-21,0.00684
1992-01-17,0.5
2006-04-19,0.31
2014-10-22,0.6436
1964-04-21,0.00684
1981-01-19,0.02969
1974-10-11,0.01406
2004-07-21,0.25
2006-01-18,0.28
2019-01-17,0.7172
1981-04-20,0.02969
1996-04-17,0.4
2004-10-20,0.25
2013-04-24,0.6015
1971-07-19,0.01172
1972-01-17,0.01172
2017-10-19,0.6896
1996-07-17,0.45
1984-04-13,0.0375
2014-01-22,0.6015
1971-10-18,0.01172
1972-04-17,0.01172
1964-01-21,0.00684
1996-10-16,0.45
1993-01-15,0.2752
2005-04-20,0.28
1974-01-14,0.01406
1965-04-20,0.00723
1965-10-19,0.00723
1982-01-18,0.03281
1982-07-19,0.03281
2007-01-17,0.31
2007-07-18,0.35
1982-04-19,0.03281
1982-10-18,0.03281
2007-10-17,0.35
1973-01-15,0.01219
1974-04-15,0.01406
2015-01-21,0.6436
2016-07-20,0.6695
1966-07-19,0.00781
1965-01-19,0.00723
2008-04-16,0.4
1994-01-14,0.31
1974-07-15,0.01406
2016-10-19,0.6695
1964-10-20,0.00684
1966-04-19,0.00781
1981-07-20,0.02969
1983-01-17,0.01875
2006-07-19,0.31
2008-01-16,0.35
2019-07-18,0.7459
1981-10-19,0.03281
1983-04-18,0.0375
2006-10-18,0.31
1973-07-16,0.01406
2019-10-17,0.746
1985-10-11,0.04063
2015-07-22,0.6629
2016-01-20,0.6629
1973-10-15,0.01406
1965-07-20,0.00723
1966-01-18,0.00781
1995-01-13,0.35
2015-10-21,0.6629
1963-01-15,0.00625
1963-07-16,0.00625
2010-04-28,0.4818
1984-01-16,0.0375
1984-07-16,0.04063
1980-01-14,0.02656
1980-07-14,0.02969
1993-07-19,0.31
1997-10-22,0.2526
2017-01-18,0.6695
1967-01-17,0.00859
1989-07-17,0.8
2013-01-16,0.562
2014-07-16,0.6436
1962-07-17,0.00586
1983-07-18,0.0375
1985-01-14,0.04063
2002-06-03,0.345
2000-04-18,0.32
2008-07-16,0.4
1979-07-16,0.02656
1991-10-11,0.5
1992-07-20,0.2752
2017-07-19,0.6896
1967-07-18,0.00859
1968-01-16,0.00938
1988-07-18,0.7008
2013-07-17,0.6015
1975-07-14,0.01563
1986-07-14,0.6752
2020-01-23,0.746
2020-07-23,0.791
2003-04-15,0.41
1999-04-21,0.285
1986-01-17,0.6512
2003-10-22,0.455
2012-04-25,0.562
1999-10-20,0.32
1970-10-19,0.01094
1991-07-15,0.5
1995-10-18,0.4
2004-04-21,0.5
2011-04-27,0.525
1985-07-15,0.04063
1998-04-22,0.2526
1987-01-16,0.6752
1994-07-18,0.35
1998-10-21,0.285
2007-04-25,0.35
1969-10-20,0.01016
1970-04-20,0.01094
1990-07-16,0.4504
1991-01-14,0.5